neighborhood,room_arrangement,house_type,square_meters,price_including_loans,price_per_square_meters,built_in,floor,has_elevator,shape,lot,energy_classification
Kannelmäki,"1h, k, kph ja r...",apartment,29.0,153850,5305,1959,1/4,False,satisfactory,rented,D
Sörnäinen,1h+ka+ma+kph,apartment,29.0,245000,8448,1933,4/7,True,good,owned,E-2007
Hakaniemi,"1h, k, kph, eri...",apartment,36.4,310000,8516,1908,4/5,False,good,owned,E-2007
Torkkelinmäki,1h+avok.+kph+wc,apartment,37.0,246000,6649,1927,2/4,False,satisfactory,owned,G-2013
Torkkelinmäki,1h+avok.+kph+wc,apartment,37.0,246000,6649,1927,2/4,False,satisfactory,owned,G-2013
Alppila,1k+kk+kph+parveke,apartment,21.0,195000,9286,1960,7/8,True,satisfactory,owned,
Munkkivuori,1h+kk+kh,apartment,23.8,166000,6975,1957,3/5,False,satisfactory,rented,G-2013
Munkkisaari,"1h, kk, kph",apartment,25.0,211000,8440,1912,1/4,False,satisfactory,owned,E-2018
Sörnäinen,"1h,kk",apartment,28.0,240100,8575,1927,5/7,True,satisfactory,owned,D-2007
Lauttasaari / vattuniemi,1h+kk+kph+las.p,apartment,28.5,270000,9474,2019,3/7,True,good,owned,C-2018
Kulosaari ,1h+kk+kph,apartment,30.0,236000,7867,1961,2/3,False,good,owned,G-2013
Etelä-haaga,"1h, avok, kph, ...",apartment,30.9,218000,7055,1954,4/4,False,good,owned,E-2007
Töölö,1h + kk,apartment,33.0,287000,8697,1933,2/6,True,good,owned,F-2013
Mellunkylä,1 h+pk,apartment,34.0,109000,3206,1973,1/3,False,,owned,F-2007
Puotila,1 h + kk,apartment,36.0,133000,3694,1965,2/3,False,,owned,E-2007
Vartiokylä,1h+avok.+kh+vh+...,apartment,36.5,170500,4671,2019,4/4,True,good,rented,D-2013
Kamppi,1h+k,apartment,41.0,380000,9268,1908,3/6,True,good,owned,F-2013
Kruununhaka,1h+avok+kph,apartment,41.3,342000,8281,1930,3/7,True,satisfactory,owned,D-2018
Kallio,"1h, avok ja alkovi",apartment,27.0,214000,7926,1937,3/7,True,good,owned,G-2013
Pihlajamäki,"1 h, kk, kph/wc...",apartment,30.0,132000,4400,1977,6/6,True,satisfactory,owned,D-2018
Konala,"1h, kk, kph + l...",apartment,31.0,157000,5065,1962,4/4,False,good,owned,D-2018
Kallio,"1h,kk",apartment,31.0,226000,7290,1939,2/7,True,good,owned,G-2013
Vuosaari,"1h, k, kph, las...",apartment,37.5,181000,4827,1967,1/7,True,good,owned,F-2007
Puotila,"1h, kk, kph, p ...",apartment,28.0,150000,5357,1965,1/3,False,satisfactory,owned,E-2007
Kamppi,1h+kk+kph,apartment,32.0,261000,8156,1908,1/4,True,good,owned,D
Etu-töölö,"1h,kh",apartment,44.2,364550,8248,1915,3/6,True,,owned,D-2013
Punavuori,"1h, avok, alk, ...",apartment,34.5,425000,12319,2023,5/8,True,good,owned,
Punavuori,"1h, avok, kph",apartment,35.0,360000,10286,1937,4/5,True,good,owned,C-2018
Katajanokka,1h+k+alk+kph+la...,apartment,35.5,255000,7183,1982,4/6,True,satisfactory,rented,E-2007
Pihlajamäki,1h+k+kph,apartment,39.5,160000,4051,1965,2/3,False,good,rented,E-2007
Kulosaari,"1h, avok, kph, ...",apartment,26.5,237000,8943,1960,1/4,True,good,owned,F-2013
Etelä-haaga,1h+kk,apartment,29.0,208000,7172,1961,2/3,False,satisfactory,owned,F-2007
Konala,1 h+kk,apartment,31.0,147500,4758,1962,3/4,False,satisfactory,owned,E-2018
Käpylä,"1h, k, kph",apartment,38.0,247000,6500,1939,2/2,False,satisfactory,rented,F
Oulunkylä,autotalli,apartment,20.0,26500,1325,1977,1/1,True,good,owned,E-2018
Alppila,1h+kk,apartment,26.0,209000,8038,1963,4/9,True,satisfactory,owned,F-2013
Pukinmäki,"1h, kk",apartment,30.0,150000,5000,1986,2/3,False,good,owned,
Kamppi,"1h, avokeitti..",apartment,31.0,350000,11290,1906,1/5,True,good,owned,D-2007
Kamppi,1h + k,apartment,32.5,272000,8369,1939,3/5,True,satisfactory,owned,F-2007
Punavuori,1h+k+kph+alkovi,apartment,33.0,328000,9939,1931,2/4,True,good,owned,D-2018
Vallila,1h+k+kph,apartment,40.0,275000,6875,1925,3/3,False,satisfactory,rented,E-2007
Käpylä,"1 h, k, kph, et",rowhouse,43.0,245000,5698,1921,2/2,False,good,rented,D-2018
Munkkivuori,"1h,kk,kh",apartment,24.7,170000,6883,1957,4/4,False,good,rented,G-2013
Viikinmäki,"1h, kt (yht.j..",apartment,29.5,184400,6251,2022,3/3,True,good,rented,
Kontula,"1h, kk, alkovi,...",apartment,31.5,95000,3016,1967,1/8,True,satisfactory,rented,G-2013
Kamppi,"1h, k, kph, parvi",apartment,35.0,347000,9914,1906,3/5,True,satisfactory,owned,D-2018
Sörnäinen,"1h, k, alk, kph",apartment,48.0,320000,6667,1937,3/8,True,good,owned,F-2007
Konala,"1h, kk, kph + l...",apartment,31.0,158000,5097,1962,1/4,False,good,owned,F-2013
Kallio,"1h, k, kph, vh",apartment,34.0,270000,7941,1927,3/7,True,good,owned,F-2013
Kallio,"1h, kk, kph, ra...",apartment,21.5,204200,9498,1954,4/6,True,satisfactory,owned,F-2013
Töölö,"1h, k",apartment,27.2,277000,10184,1937,1/7,True,good,owned,F-2013
Kallio,1h+kk,apartment,27.5,238000,8655,1961,1/6,True,good,owned,G-2013
Koskela,"1h, kt",apartment,30.0,230000,7667,2021,6/7,True,good,rented,A-2018
Niemenmäki,"1h, k, kph, las...",apartment,40.0,211600,5290,1962,1/7,True,satisfactory,rented,E-2007
Vallila,"1 huone, alkovi...",apartment,51.0,313000,6137,1926,2/4,False,good,rented,E-2007
Kallio,1h + kk + kph,apartment,19.5,213000,10923,1913,4/6,False,good,owned,E-2007
Pukinmäki,1h+kk,apartment,31.5,154000,4889,1992,3/6,True,satisfactory,owned,E-2013
